scenario,campaign,dgp,design,learner,n_rows,n_cols,first_seed,reps,bias,bias_mcse,sd,rmse,mean_se,se_ratio,coverage,coverage_mcse,coverage_t,coverage_chiang,bias_elim_coverage,se_hat_add,se_hat_cgm,se_hat_iid,denom,EnV2,Eb2,Ea2,B_ab,B_bb,B_bV,B_aV,B_eps,leak,leak_mcse,leak_row,leak_col,leak_own,coupling,oob_bags_per_cell,oob_bags_drawn,se_hat_chiang,covered_cgm,se_ratio_chiang
lead_exponent_sweep_simple_reveal_threshold_rv0.9_re0.1_cluster_oob_sub_g0.35_gbm_32x32,lead_exponent_sweep,simple_reveal_threshold_rv0.9_re0.1,cluster_oob_sub_g0.35,gbm,32,32,2991001,1000,0.037440745300012825,0.0015453185038650417,0.048867261826172445,0.061542104917931884,0.0552704318545295,1.131031897206232,0.915,0.008819013550278736,0.93,,0.964,0.0552704318545295,0.04535441138481588,0.03133020680065239,1.0996897766546814,1.0031438815426152,0.09375418808071588,0.26141935165756275,0.13554020580647408,-0.09375418808071588,-0.0013958535156751628,0.001144983456435629,-0.0012287712271374014,-0.0015128394497195138,0.001263681639489145,-0.001270770996740635,-0.0002420684529788782,0.00011698593404435059,1.0150300225125555,130.0,194.059,,0.836,
lead_exponent_sweep_simple_reveal_threshold_rv0.9_re0.1_cluster_oob_sub_g0.35_gbm_64x64,lead_exponent_sweep,simple_reveal_threshold_rv0.9_re0.1,cluster_oob_sub_g0.35,gbm,64,64,2991001,1000,0.021534870186624144,0.0009934074614087747,0.03141430222657549,0.038073903923199114,0.033991639226958796,1.0820434266466998,0.927,0.008226238508577293,0.933,,0.963,0.033991639226958796,0.03012447801094188,0.015680337007349915,1.062408891227834,0.9927162018574002,0.07031890459406807,0.17719424082907392,0.09373372193803968,-0.07031890459406807,0.0003131076118171258,-0.0005298134349724885,-0.0006741476919710027,0.0003033423531805615,0.000760502442368142,0.0002522831069425301,5.10592462380314e-05,9.765258636564875e-06,0.9359583143608798,130.0,172.761,,0.885,
lead_exponent_sweep_simple_reveal_threshold_rv0.9_re0.1_cluster_oob_sub_g0.45_gbm_32x32,lead_exponent_sweep,simple_reveal_threshold_rv0.9_re0.1,cluster_oob_sub_g0.45,gbm,32,32,2991001,1000,0.017829953605746265,0.0015972501217567897,0.050509483777327197,0.053540302474712365,0.055199821857936954,1.0928605428098865,0.952,0.006759881655768837,0.962,,0.964,0.055199821857936954,0.04544470619473486,0.031079525844964585,1.1036846706436112,1.0031438815426152,0.09913315094003973,0.20799400650256156,0.11956462011720549,-0.09913315094003973,-0.0007038190804781641,0.0008427289300345398,-0.0016896449157950762,-0.0008583231218759966,0.0014794707770724679,-0.0012006544521434117,0.00034233133026741555,0.00015450404139783204,0.7837528888819582,130.0,211.109,,0.885,
lead_exponent_sweep_simple_reveal_threshold_rv0.9_re0.1_cluster_oob_sub_g0.45_gbm_64x64,lead_exponent_sweep,simple_reveal_threshold_rv0.9_re0.1,cluster_oob_sub_g0.45,gbm,64,64,2991001,1000,0.006110633057337744,0.000996889524922876,0.03152441474319479,0.03209571268156364,0.033868034317038415,1.0743430002724965,0.955,0.00655553201502365,0.958,,0.959,0.033868034317038415,0.0300150561186421,0.01562779234951773,1.048326548555698,0.9927162018574002,0.05605758024986537,0.11094909203931375,0.063696305414652,-0.05605758024986537,0.00022361677578366384,-0.0008600342454651857,-0.0007770178507573118,0.00020168530102869476,0.0007895209833408411,0.0001799280669243532,2.1757234104341396e-05,2.1931474754969482e-05,0.8051544561982646,130.0,188.653,,0.926,
lead_exponent_sweep_simple_reveal_threshold_rv0.9_re0.1_cluster_oob_sub_g0.55_gbm_32x32,lead_exponent_sweep,simple_reveal_threshold_rv0.9_re0.1,cluster_oob_sub_g0.55,gbm,32,32,2991001,1000,0.002405841713717404,0.0016182735475863035,0.05117430287573599,0.05120525890857506,0.055124600101756106,1.077192985620389,0.958,0.006343185319695463,0.963,,0.959,0.055124600101756106,0.04543588110366886,0.03094545747593472,1.0968595536704293,1.0031438815426152,0.09363030432079186,0.15397502089430595,0.09712207728345398,-0.09363030432079186,-4.268390351117915e-05,0.0006210097439058841,-0.0018194882578358143,-0.00021237722719448122,0.0015975634800839006,-0.0009726565938874031,0.0007602793666929216,0.0001696933236833021,0.6742198169430054,130.0,252.349,,0.907,
lead_exponent_sweep_simple_reveal_threshold_rv0.9_re0.1_cluster_oob_sub_g0.55_gbm_64x64,lead_exponent_sweep,simple_reveal_threshold_rv0.9_re0.1,cluster_oob_sub_g0.55,gbm,64,64,2991001,1000,-0.0022615156323338255,0.0010149168116625705,0.03209448760449865,0.03215805546695901,0.03389891935862444,1.0562224820773543,0.955,0.00655553201502365,0.96,,0.957,0.03389891935862444,0.030109926859371007,0.01551314865995963,1.0543333001369797,0.9927162018574002,0.06202095887401239,0.0904657759114508,0.060483396849566474,-0.06202095887401239,0.00020193029721636,-0.000418783552884162,-0.0007529887921778934,0.0001726120076053146,0.0008978688637892135,8.571087288166837e-05,8.69011347236462e-05,2.931828961104512e-05,0.5783523839132028,130.0,215.323,,0.934,
lead_exponent_sweep_simple_reveal_threshold_rv0.9_re0.1_cluster_oob_sub_g0.65_gbm_32x32,lead_exponent_sweep,simple_reveal_threshold_rv0.9_re0.1,cluster_oob_sub_g0.65,gbm,32,32,2991001,1000,-0.009202154664356798,0.0016789437692363708,0.0530928637413507,0.05385826750410858,0.054887850003412314,1.033808428017862,0.95,0.006892024376045114,0.954,,0.952,0.054887850003412314,0.04539153093317394,0.030589936710166056,1.1240588117831452,1.0031438815426152,0.12110568355648689,0.15798740980108358,0.11258738472581271,-0.12110568355648689,9.537665797841636e-05,-0.00011814215488087876,-0.0022740375457925397,-6.565221327946339e-05,0.001856829765197901,-0.0009269538577361375,0.0008613016444566743,0.00016102887125788007,0.5120588987718862,130.0,334.373,,0.884,
lead_exponent_sweep_simple_reveal_threshold_rv0.9_re0.1_cluster_oob_sub_g0.65_gbm_64x64,lead_exponent_sweep,simple_reveal_threshold_rv0.9_re0.1,cluster_oob_sub_g0.65,gbm,64,64,2991001,1000,-0.0115336671228999,0.0010399108172772051,0.03288486746043147,0.03483329686785499,0.03382819402905428,1.0286857342441127,0.948,0.007021111023192843,0.952,,0.952,0.03382819402905428,0.030127854802650667,0.01532726019458503,1.0790339951295336,0.9927162018574002,0.086627682473756,0.0947715962783686,0.07523089605945665,-0.086627682473756,0.00015494460081120443,-0.00045170817906349287,-0.0008664358332742165,0.000141119180912762,0.001083253355587969,-0.0002729381892422687,0.00041405737015503034,1.3825419898442873e-05,0.38824245542747715,130.0,269.789,,0.915,
lead_exponent_sweep_simple_reveal_threshold_rv0.9_re0.1_cluster_oob_sub_g0.8_gbm_32x32,lead_exponent_sweep,simple_reveal_threshold_rv0.9_re0.1,cluster_oob_sub_g0.8,gbm,32,32,2991001,1000,-0.030412457335830666,0.0018017927590329328,0.0569776899014299,0.0645610428242971,0.054184099168950346,0.9509704458479731,0.887,0.010011543337567888,0.901,,0.937,0.054184099168950346,0.045171665540417134,0.029644121379629716,1.220729257002493,1.0031438815426152,0.2193842293384502,0.22336503917606113,0.18433657305961715,-0.2193842293384502,0.0008994269392862347,-0.0008356876282737735,-0.00291357785536195,0.0006489837455753723,0.002510396038108286,-0.0007635359630893901,0.0014125197086647628,0.00025044319371086125,0.3658669569738167,130.0,750.037,,0.808,
lead_exponent_sweep_simple_reveal_threshold_rv0.9_re0.1_cluster_oob_sub_g0.8_gbm_64x64,lead_exponent_sweep,simple_reveal_threshold_rv0.9_re0.1,cluster_oob_sub_g0.8,gbm,64,64,2991001,1000,-0.021186409904254192,0.0011053459925125986,0.03495410938879235,0.040858682529317784,0.03356639427536267,0.960298942307635,0.895,0.009694070352540258,0.902,,0.932,0.03356639427536267,0.030015634687655633,0.01496436727111219,1.1389064906179152,0.9927162018574002,0.14656921786655705,0.1372101122969472,0.1236264005091092,-0.14656921786655705,0.00018946455302112008,-0.00044576781036610247,-0.0010050810870122536,0.0001965811071536039,0.0014129839125215959,-0.0003185710579546901,0.0005151521651082936,-7.116554132484139e-06,0.261427414758793,130.0,526.683,,0.854,
