scenario,campaign,dgp,design,learner,n_rows,n_cols,first_seed,reps,bias,bias_mcse,sd,rmse,mean_se,se_ratio,coverage,coverage_mcse,coverage_t,coverage_chiang,bias_elim_coverage,se_hat_add,se_hat_cgm,se_hat_iid,denom,EnV2,Eb2,Ea2,B_ab,B_bb,B_bV,B_aV,B_eps,leak,leak_mcse,leak_row,leak_col,leak_own,coupling,se_hat_chiang,covered_cgm,se_ratio_chiang,oob_bags_per_cell,oob_bags_drawn
lead_plr_simple_reveal_threshold_rv0.9_re0.1_oracle_gbm_64x64,lead_plr,simple_reveal_threshold_rv0.9_re0.1,oracle,gbm,64,64,5410001,2000,-0.0003568049486750835,0.0006950573155104396,0.03108390811479724,0.031078184451294965,0.033687739855792376,1.0837678367655321,0.9615,0.004302194207610808,0.9665,,0.962,0.033687739855792376,0.02978241321447372,0.01567190025665044,1.0000951839930436,1.0000951839930436,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005894784453438336,0.0,0.0,0.0,0.0,0.0,0.0,,0.9335,,,
lead_plr_simple_reveal_threshold_rv0.9_re0.1_no_cf_gbm_64x64,lead_plr,simple_reveal_threshold_rv0.9_re0.1,no_cf,gbm,64,64,5410001,2000,0.0387345918922473,0.0008554386891625292,0.03825638119101456,0.05443516818693818,0.041675443850856274,1.0893723492237883,0.868,0.007568883669339885,0.8765,,0.9625,0.041675443850856274,0.034368786661928455,0.023437262565655006,0.4202904648125754,1.0000951839930436,0.2665438809314153,0.27207786324462707,0.22973003931544103,-0.2665438809314153,0.4231743000559418,-0.36968621874235075,-0.0006088152865491178,0.42087557676422543,0.0014217308314383042,0.21034697511486927,0.2105286016493562,0.0022987232917163433,0.30560408636417163,,0.77,,,
lead_plr_simple_reveal_threshold_rv0.9_re0.1_as_iid_gbm_64x64,lead_plr,simple_reveal_threshold_rv0.9_re0.1,as_iid,gbm,64,64,5410001,2000,0.07275397890106482,0.0008925951182845374,0.03991806721737382,0.08298070143269562,0.0414952341749504,1.0395101032569567,0.579,0.011039904890894667,0.5945,,0.9575,0.0414952341749504,0.03407575659258511,0.023564041469251003,0.46174887230098544,1.0000951839930436,0.256199759536171,0.26094358736896833,0.20585350665517188,-0.256199759536171,0.39727303561411464,-0.31306002037778013,-0.0006323598406950061,0.397251285950696,0.0013869255759962017,0.19839265017764343,0.19885863577305252,2.1749663418602268e-05,0.4244080489718187,,0.442,,,
lead_plr_simple_reveal_threshold_rv0.9_re0.1_multiway_gbm_64x64,lead_plr,simple_reveal_threshold_rv0.9_re0.1,multiway,gbm,64,64,5410001,2000,-0.057378545405466955,0.0009910241386166425,0.04431994682579974,0.07249533109549626,0.03423901985217505,0.7725419885261159,0.5765,0.011048704675209669,0.5905,0.6945,0.8595,0.03423901985217505,0.031141072631994275,0.014150854093726349,1.4417189792086347,1.0000951839930436,0.44422634967432784,0.44155290655578894,0.3620640437933042,-0.44422634967432784,0.0013012772293684303,-0.0017985821332407524,-0.0007259144905976274,0.0013418853873034004,0.0015605385139902596,0.001106389206089107,0.00023549618121429305,-4.060815793497046e-05,0.381494961710831,0.04120844013009426,0.522,0.9297944397827167,,
lead_plr_simple_reveal_threshold_rv0.9_re0.1_cluster_oob_sub_gbm_64x64,lead_plr,simple_reveal_threshold_rv0.9_re0.1,cluster_oob_sub,gbm,64,64,5410001,2000,0.006106139971422351,0.0007074361027997395,0.03163750431195494,0.0322136020742795,0.03376461356070714,1.0672337877153106,0.96,0.004381780460041331,0.9635,,0.96,0.03376461356070714,0.02992022596736637,0.015577908743321267,1.0558401011349339,1.0000951839930436,0.05597590517144084,0.10982855902269108,0.06298651259791117,-0.05597590517144084,0.00011549401477532973,-0.0003256802223093962,-0.0008510035795308458,0.00014632138784124286,0.000585965127053524,2.060571890578332e-05,0.00012571566893545958,-3.0827373065913145e-05,0.8128228826070716,,0.9235,,130.0,188.6765
lead_plr_simple_reveal_threshold_rv0.9_re0.1_cluster_oob_nodrop_gbm_64x64,lead_plr,simple_reveal_threshold_rv0.9_re0.1,cluster_oob_nodrop,gbm,64,64,5410001,2000,0.016340465082359,0.0006987008496107342,0.031246851913329186,0.035254621976757466,0.03437151984847672,1.0999994477464345,0.9435,0.005162739098579358,0.9465,,0.968,0.03437151984847672,0.030169144262618686,0.016394087846529466,0.9255243408510812,1.0000951839930436,0.055313114343083156,0.1081265395954675,0.06202724050173427,-0.055313114343083156,0.06494197874252282,-0.05612092237032124,-0.0008187407043525755,0.06394885817004284,0.0005902123636553828,0.03192431497480389,0.032024543195238946,0.0009931205724799713,0.8203903668240343,,0.905,,130.0,188.6765
lead_plr_simple_reveal_threshold_rv0.9_re0.1_no_cf_lasso_64x64,lead_plr,simple_reveal_threshold_rv0.9_re0.1,no_cf,lasso,64,64,5410001,2000,0.1937044364407544,0.0007472334068923043,0.03341729385739905,0.19656440641127693,0.033706521679080954,1.0086550342142042,0.0,0.0,0.0,,0.944,0.033706521679080954,0.030011306615918953,0.015280651081739033,1.205225726707198,1.0000951839930436,0.25613082106223994,0.9575378683789709,0.48850781774861846,-0.25613082106223994,0.025500139174042844,-0.026038519926807127,-0.0006427441683926731,0.025435766478044297,0.0005490644504874588,0.012475997548920063,0.012959768929124232,6.437269599854948e-05,0.9304229287795476,,0.0,,,
lead_plr_simple_reveal_threshold_rv0.9_re0.1_multiway_lasso_64x64,lead_plr,simple_reveal_threshold_rv0.9_re0.1,multiway,lasso,64,64,5410001,2000,0.183185960695203,0.0008105453769671799,0.03624869123493613,0.18673619581715292,0.03345671449626221,0.9229771712148591,0.0005,0.0004998749843710925,0.0005,0.0015,0.9265,0.03345671449626221,0.029914487296669956,0.014919463171398977,1.2875041392202506,1.0000951839930436,0.28693300036033037,1.0004323093031608,0.5208983707308205,-0.28693300036033037,-0.00023797743343825716,4.005771522703891e-05,-0.0007379418083018244,-0.00021651978984296117,0.0007092617007632646,-0.0005063076203338701,0.00028978783049090907,-2.1457643595295908e-05,0.8657979464724554,0.04022786692996565,0.0,1.1097743272781784,,
lead_plr_simple_reveal_threshold_rv0.9_re0.1_cluster_oob_sub_g0.666667_gbm_64x64,lead_plr,simple_reveal_threshold_rv0.9_re0.1,cluster_oob_sub_g0.666667,gbm,64,64,5410001,2000,-0.0112643682836782,0.0007457960031406341,0.03335301120740209,0.035195925016301595,0.03368414342426287,1.0099281055854799,0.937,0.00543281694887652,0.9445,,0.951,0.03368414342426287,0.029998324603234608,0.01525262411798485,1.094626885195205,1.0000951839930436,0.09456408203151662,0.10493234238499698,0.08319294821752195,-0.09456408203151662,1.619041467758159e-05,-0.000391054097853681,-0.0010847322214292774,6.470898306389134e-05,0.0008366246874530922,2.9590475503105117e-08,6.467939258838751e-05,-4.8518568386309324e-05,0.38037471373639653,,0.8925,,130.0,282.38
lead_plr_simple_reveal_threshold_rv0.9_re0.1_cluster_oob_sub_g0.833333_gbm_64x64,lead_plr,simple_reveal_threshold_rv0.9_re0.1,cluster_oob_sub_g0.833333,gbm,64,64,5410001,2000,-0.022352659694541786,0.0007963832028246474,0.035615339553098285,0.04204116531087999,0.03327105959612192,0.9341778012959467,0.869,0.00754450130890041,0.8765,,0.9285,0.03327105959612192,0.029755770097711444,0.01481474415554619,1.1643924486217352,1.0000951839930436,0.16297658776298807,0.152089915529255,0.13846171469814614,-0.16297658776298807,-0.0006603384328517325,-0.0002308691314470146,-0.0011691162385019474,-0.0005877421471354331,0.0010789636799857514,-0.00036880845781620594,-0.0002189336893192273,-7.259628571629927e-05,0.24469385246724243,,0.8155,,130.0,674.955
lead_plr_simple_reveal_threshold_rv0.9_re0.1_nosignatures_multiway_gbm_64x64,lead_plr,simple_reveal_threshold_rv0.9_re0.1_nosignatures,multiway,gbm,64,64,5410001,2000,-0.01413367453453856,0.0007291999646812703,0.03261081380435533,0.03553440868006818,0.032591971044251086,0.9994221928892273,0.9285,0.005761412587204635,0.935,0.971,0.9455,0.032591971044251086,0.028442910021858,0.01584135756053912,1.089637228375194,1.0000951839930436,0.09019528198284872,0.16652761372603,0.0752991030121645,-0.09019528198284872,0.0003266188003491819,-0.00034227752363546625,-0.0007402190276688029,0.00034347338891043636,0.0005686161489234103,-9.220150775786945e-05,0.000435674896668306,-1.6854588561254422e-05,1.2544110371043606,0.04009752578504299,0.876,1.2295775881461681,,
lead_plr_simple_reveal_threshold_rv0.9_re0.1_nosignatures_cluster_oob_sub_gbm_64x64,lead_plr,simple_reveal_threshold_rv0.9_re0.1_nosignatures,cluster_oob_sub,gbm,64,64,5410001,2000,0.008932841743399141,0.0006933731650124955,0.031008590614842374,0.03226216959823913,0.033415551879678415,1.077622401312362,0.9505,0.004850244839180801,0.954,,0.962,0.033415551879678415,0.02947869057236388,0.01566521303543776,1.0388416801632965,1.0000951839930436,0.03864964889016906,0.0924087107472875,0.0481394234955912,-0.03864964889016906,-4.842364004192673e-05,5.793360532809884e-05,-0.0006756083213334924,-1.278166905193892e-05,0.00047324160567363495,-0.0001607143959120382,0.00014793272686009905,-3.564197098998744e-05,1.0812427470520425,,0.924,,130.0,188.6765
