scenario,campaign,dgp,design,learner,n_rows,n_cols,first_seed,reps,bias,bias_mcse,sd,rmse,mean_se,se_ratio,coverage,coverage_mcse,coverage_t,coverage_chiang,bias_elim_coverage,se_hat_add,se_hat_cgm,jacobian,mse_y,mse_d,mse_z,estimation_failure,covered_cgm,se_ratio_chiang
pliv_chen_chiang_pliv_p3_oracle_gbm_25x25,pliv,chen_chiang_pliv_p3,oracle,gbm,25,25,2940001,2000,-0.027415555725359322,0.005156332298999748,0.23059819070282417,0.23216492088248097,0.2265108713787772,0.9822751457347106,0.951,0.004826955562256609,0.9635,,0.9395,0.2265108713787772,0.20835551210778722,1.4941483518878198,0.0,0.0,0.0,0.0,0.929,
pliv_chen_chiang_pliv_p3_no_cf_gbm_25x25,pliv,chen_chiang_pliv_p3,no_cf,gbm,25,25,2940001,2000,-0.027556917704799087,0.004499644960946374,0.20123024014580956,0.20305848038866708,0.18843854465646206,0.9364325387671418,0.955,0.004635461142108735,0.962,,0.941,0.18843854465646206,0.16494657633881116,1.044525617292697,2.0228912885180916,0.917779901570043,0.7795508249738018,0.0,0.912,
pliv_chen_chiang_pliv_p3_as_iid_gbm_25x25,pliv,chen_chiang_pliv_p3,as_iid,gbm,25,25,2940001,2000,-0.03272109276906667,0.0036247799313108373,0.16210508659776102,0.16533478152923248,0.14994302662241502,0.9249742236310925,0.946,0.005053909377897473,0.9615,,0.937,0.14994302662241502,0.12685299747676346,2.4609370245465536,3.7072637163468753,2.2635072630942057,1.9613612764714525,0.0,0.889,
pliv_chen_chiang_pliv_p3_multiway_gbm_25x25,pliv,chen_chiang_pliv_p3,multiway,gbm,25,25,2940001,2000,-0.036761991300081516,0.003419766670496968,0.15293661484838691,0.15725570692839885,0.12384281124501909,0.8097656102025675,0.91,0.0063992187023104614,0.936,,0.9015,0.12384281124501909,0.10459167563020455,4.295182193111174,7.027439482984348,4.701289732114063,4.228003757394555,0.0,0.834,
pliv_chen_chiang_pliv_p3_cluster_oob_sub_gbm_25x25,pliv,chen_chiang_pliv_p3,cluster_oob_sub,gbm,25,25,2940001,2000,-0.012144150877254222,0.001688092731675195,0.07549380200698097,0.07644569893020813,0.07781646506817656,1.0307662748391029,0.9515,0.004803527349771207,0.962,,0.9475,0.07781646506817656,0.06729523142462837,6.758103455117169,7.7212378959127745,7.057791677574057,6.1757843003357955,0.0,0.9045,
pliv_chen_chiang_pliv_p3_mu1_oracle_gbm_25x25,pliv,chen_chiang_pliv_p3_mu1,oracle,gbm,25,25,2940001,2000,-0.02741555572535932,0.005156332298999749,0.23059819070282422,0.23216492088248097,0.2265108713787772,0.9822751457347104,0.951,0.004826955562256609,0.9635,,0.9395,0.2265108713787772,0.20835551210778722,1.4941483518878198,0.0,0.0,0.0,0.0,0.929,
pliv_chen_chiang_pliv_p3_mu1_no_cf_gbm_25x25,pliv,chen_chiang_pliv_p3_mu1,no_cf,gbm,25,25,2940001,2000,-0.025232754980669667,0.004556123143398114,0.20375602124996411,0.20526190552908868,0.19047772425148407,0.9348323700226239,0.953,0.004732388403332932,0.9605,,0.9335,0.19047772425148407,0.16682245857156613,1.0298143737981995,2.037883279221364,0.9303550270527206,0.7664351475134205,0.0,0.9085,
pliv_chen_chiang_pliv_p3_mu1_as_iid_gbm_25x25,pliv,chen_chiang_pliv_p3_mu1,as_iid,gbm,25,25,2940001,2000,-0.02751228235854389,0.0037016485887093266,0.1655427574634043,0.16777254849017895,0.1516844964671593,0.9162859118176248,0.9425,0.005205465877325487,0.9555,,0.9375,0.1516844964671593,0.1283444211153299,2.4145978384534863,3.767769800174525,2.2983817049825785,1.8683240505287455,0.0,0.889,
pliv_chen_chiang_pliv_p3_mu1_multiway_gbm_25x25,pliv,chen_chiang_pliv_p3_mu1,multiway,gbm,25,25,2940001,2000,-0.019334143460065175,0.0034435344661823348,0.153999542984943,0.15517026265778475,0.12338351310262843,0.8011940211711668,0.898,0.006767421961131136,0.9185,,0.8955,0.12338351310262843,0.10397171841861703,4.251872845482827,7.375328483209549,4.82650501429018,4.099941261286851,0.0,0.831,
pliv_chen_chiang_pliv_p3_mu1_cluster_oob_sub_gbm_25x25,pliv,chen_chiang_pliv_p3_mu1,cluster_oob_sub,gbm,25,25,2940001,2000,0.03499309519227256,0.0015699730163999952,0.07021132775021562,0.07843266182089846,0.07447582016658401,1.060737954301901,0.9095,0.006415206543830059,0.928,,0.953,0.07447582016658401,0.06435784216813595,7.0208298907908935,8.744776384135541,7.3969390870459995,6.52938011740637,0.0,0.8535,
